mail,Spam
Te envío la captura de pantalla con el error que me sale en la web.,0
Te envío el enlace de Zoom para la clase de yoga de mañana.,0
Gana una beca completa para estudiar en el extranjero. Pulsa aquí: verificar-cuenta.net,1
Trabaje como probador de productos electrónicos para grandes marcas.,1
Te mando el presupuesto para la reforma del baño. Avísame si tienes dudas.,0
La conferencia de tecnología empieza a las 10:00 en el pabellón 4.,0
Tu paquete de Correos está listo para entrega pero faltan datos. Pulsa seguridad-banca.com,1
Tu coche ya está reparado. Puedes pasar a recogerlo por el taller esta tarde.,0
Te envío la captura de pantalla con el error que me sale en la web.,0
Tu cuenta de Amazon Prime ha sido bloqueada temporalmente. Verifica en bit.ly/secure-auth,1
Te envío la presentación para que le eches un vistazo antes de mañana.,0
Atención cliente: Su clave de acceso caduca en 24 horas. Cámbiela en premios-ya.org/click,1
Hola Javier; te adjunto la propuesta de colaboración que hablamos.,0
Hola Roberto; ¿te llegó el correo con los detalles del proyecto Beta?,0
Recordatorio: Tienes una clase particular de música el próximo lunes a las 17:45.,0
Consiga una suscripción de por vida a Disney+ por un pago único de 10€.,1
Tu recibo del alquiler de este mes ya ha sido procesado por el banco.,0
Última oportunidad para conseguir el curso de trading con un 80% de descuento.,1
¿Te apetece ir a correr un rato por el parque esta tarde?,0
Adjunto el informe de gastos del viaje a Colombia para su revisión.,0
Obtenga un cupón de 50€ para gastar en AliExpress por su fidelidad.,1
Tu coche tiene una multa de tráfico pendiente de pago. Ver imagen: bit.ly/secure-auth,1
Hola equipo; recordad que el lunes es festivo y la oficina estará cerrada.,0
Te adjunto el plano de la nueva oficina. Mi mesa es la del rincón.,0
Tu pedido de Zara ha sido cancelado. Solicita el reembolso en bit.ly/secure-auth,1
Te adjunto el ticket de compra por si tienes que cambiar algo en la tienda.,0
Recordatorio: Tienes una clase particular de música el jueves a las 19:15.,0
Hola Juan; te comparto las fotos del viaje. ¡Lo pasamos genial!,0
Su acceso a la plataforma de inversión ha sido bloqueado por seguridad.,1
Solicitud de amistad pendiente de una persona que conoces en shrt.url/xyz,1
Hola; ¿sabes dónde puedo encontrar el archivo de los clientes antiguos?,0
Haz que tu web aparezca en el número 1 de Google con nuestros servicios.,1
Tu cuenta de usuario ha sido creada correctamente. Pulsa aquí para activar.,0
Confirmación de envío: Su paquete de Mercado Libre llegará mañana entre las 9 y las 14h.,0
Tu factura de HBO Max está vencida. Evita el corte del servicio aquí: premios-ya.org/click,1
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con t.co/promo,1
Te adjunto el plano de la nueva oficina. Mi mesa es la del rincón.,0
¿Me podrías prestar el libro que me comentaste el otro día?,0
Su acceso a la banca online de Bankinter ha sido deshabilitado. Entre en seguridad-banca.com,1
¿A qué hora quedamos mañana para ir a la universidad?,0
¿Me podrías pasar el contacto de Laura? Necesito consultarle una duda técnica.,0
He visto un piso que te podría gustar. Te paso el enlace por aquí.,0
Tu pedido de comida a domicilio llegará en unos 15 minutos. ¡Que aproveche!,0
La conferencia de tecnología empieza a las 10:00 en el pabellón 4.,0
He visto un piso que te podría gustar. Te paso el enlace por aquí.,0
Confirmación de cita: Masaje relajante el martes a las 19:30.,0
Te envío el enlace de Zoom para la clase de yoga de mañana.,0
Participa en el sorteo de un crucero por el Mediterráneo para dos personas.,1
Tu cuenta de Amazon Prime ha sido bloqueada temporalmente. Verifica en bit.ly/secure-auth,1
Reclama tus tokens gratuitos de Bitcoin conectando tu wallet en bit.ly/secure-auth,1
Hola Roberto; ¿confirmamos la reunión para el próximo jueves a las 16:15?,0
Ahorra hasta un 70% en tu factura de la luz con estos nuevos paneles solares.,1
Confirmación de cita: Masaje relajante el miércoles a las 17:45.,0
Recordatorio de cita: Peluquería el martes a las 13:45.,0
La presentación del proyecto Ventas 2024 ha sido pospuesta para la semana que viene.,0
Hola; te mando la lista de la compra para que no se nos olvide nada.,0
Tu seguro de coche está a punto de vencer. Compara y ahorra con nosotros.,1
Hola; te escribo para decirte que al final no podré ir al cine; lo siento.,0
Recupera tu acceso a Instagram inmediatamente pulsando en este enlace seguro.,1
Tu suscripción a Netflix se ha renovado correctamente. Gracias por tu confianza.,0
El profesor ha subido una nueva nota al portal de la universidad.,0
La conferencia de tecnología empieza a las 10:00 en el pabellón 4.,0
¡Felicidades! Fuiste seleccionado para un sorteo de un iPhone 15 Pro Max.,1
¿Has recibido el enlace para la encuesta de satisfacción del curso?,0
Obtenga un cupón de 50€ para gastar en IKEA por su fidelidad.,1
Invierta en la industria del cannabis legal y obtenga grandes rentabilidades.,1
Tu cuenta de Disney+ se renovará automáticamente al precio completo. Cancela.,1
Solicitud de amistad pendiente de una persona que conoces en verificar-cuenta.net,1
Su ID de Apple ha sido bloqueado por razones de seguridad. Desbloquee en bit.ly/secure-auth,1
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Tu mascota puede ser la imagen de nuestra nueva campaña de IKEA.,1
Invierta en acciones de Tesla y gane dividendos mensuales garantizados.,1
Acceda a la preventa exclusiva de la nueva moneda Bitcoin solo por invitación.,1
Hola Sofía; ¿confirmamos la reunión para el próximo jueves a las 13:15?,0
Tu mascota puede ser la imagen de nuestra nueva campaña de Zara.,1
¿Quieres perder peso rápido? Prueba nuestras pastillas milagrosas en premios-ya.org/click,1
Tu mascota puede ser la imagen de nuestra nueva campaña de IKEA.,1
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
Tu paquete de IKEA está retenido. Paga las tasas de aduana aquí: shrt.url/xyz,1
El equipo de IT estará haciendo mantenimiento del servidor este jueves de madrugada.,0
Hola; soy una joven que busca amistad. Escríbeme a mi Telegram: @user_hot,1
Recupera tu acceso a Instagram inmediatamente pulsando en este enlace seguro.,1
Se ha realizado una compra de 45.000 en Amazon con su tarjeta. ¿No fue usted?,1
Te han dejado un mensaje de voz importante. Escúchalo aquí: premios-ya.org/click,1
Recordatorio de cita: Peluquería el próximo lunes a las 18:30.,0
Última oportunidad para conseguir el curso de trading con un 80% de descuento.,1
Gana dinero probando videojuegos desde casa. Regístrate en seguridad-banca.com,1
¿A qué hora pasa el autobús para ir al centro comercial?,0
Tu paquete de Decathlon está retenido. Paga las tasas de aduana aquí: verificar-cuenta.net,1
Recibe 500 euros por abrir una cuenta en nuestro nuevo banco digital.,1
Te adjunto el manual de usuario del nuevo software que vamos a implementar.,0
La entrega de premios será en el auditorio el miércoles por la tarde.,0
Te envío el enlace de Zoom para la clase de yoga de mañana.,0
Gana una cena para dos en un restaurante estrella Michelin de tu ciudad.,1
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Tu coche ya está reparado. Puedes pasar a recogerlo por el taller esta tarde.,0
Hola; ¿me podrías decir qué deberes tienen los niños para mañana?,0
Te envié las fotos que me pediste aquí: t.co/promo (Contenido solo para adultos),1
¿Quieres perder peso rápido? Prueba nuestras pastillas milagrosas en bit.ly/secure-auth,1
Confirmación de tu reserva en el restaurante para el próximo lunes a las 9:30.,0
Trabajo de medio tiempo para Amazon. Gana hasta 45.000 al día.,1
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con bit.ly/secure-auth,1
Hola Juan; te llamé pero no me lo cogiste. Llámame cuando puedas.,0
Adjunto el itinerario de nuestro viaje a Perú. ¡Qué ganas de ir!,0
¡Alerta! Alguien ha intentado cambiar la contraseña de su cuenta de Prime Video.,1
Aprende a ganar en la ruleta con este truco matemático infalible.,1
Hola Roberto; espero que estés mejor de tu resfriado. Recupérate pronto.,0
Se ha realizado una compra de 45.000 en IKEA con su tarjeta. ¿No fue usted?,1
¿A qué hora quedamos mañana para ir a la universidad?,0
La entrega de premios será en el auditorio el miércoles por la tarde.,0
Te adjunto el ticket de compra por si tienes que cambiar algo en la tienda.,0
Descarga la nueva actualización crítica de seguridad para tu PC en premios-ya.org/click,1
Su acceso a la plataforma de inversión ha sido bloqueado por seguridad.,1
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
Te adjunto el ticket de compra por si tienes que cambiar algo en la tienda.,0
Aprende a ganar en la ruleta con este truco matemático infalible.,1
Hola equipo; les comparto el acta de la reunión de hoy. Saludos.,0
Hola; ¿me podrías decir qué deberes tienen los niños para mañana?,0
Oportunidad única: Invierte en Bitcoin y multiplica tu capital hoy mismo.,1
El dentista me ha pedido que te recuerde tu limpieza de boca anual.,0
¿Quieres que compremos algo para cenar o prefieres salir fuera?,0
Hola; te mando la lista de la compra para que no se nos olvide nada.,0
Recordatorio de pago: Tu recibo de autónomos se cargará el próximo viernes.,0
Trabaje como probador de productos electrónicos para grandes marcas.,1
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con t.co/promo,1
Gracias por contactar con nuestro servicio de atención al cliente. Su ticket es #19500.,0
El profesor ha subido una nueva nota al portal de la universidad.,0
¿Tienes un momento para una llamada rápida? Es sobre el tema de Sigma.,0
Invierta en el nuevo mercado de Bitcoin antes de que suba de precio.,1
Gana una beca completa para estudiar en el extranjero. Pulsa aquí: verificar-cuenta.net,1
Hola Ana; ¿sabes a qué hora abre la biblioteca hoy?,0
Ahorra hasta un 70% en tu factura de la luz con estos nuevos paneles solares.,1
Haz que tu web aparezca en el número 1 de Google con nuestros servicios.,1
Hola; soy una joven que busca amistad. Escríbeme a mi Telegram: @user_hot,1
Tu suscripción premium ha caducado. Haz clic para renovar con descuento.,1
¿Me podrías pasar el contacto de Laura? Necesito consultarle una duda técnica.,0
¿Quieres perder peso rápido? Prueba nuestras pastillas milagrosas en shrt.url/xyz,1
He encontrado las llaves que habías perdido. Las tengo yo en casa.,0
¿Vienes a la cena de cumpleaños de Carmen este viernes? Confírmame por favor.,0
Tu pedido de AliExpress ya está disponible para recoger en la tienda física.,0
Su reembolso de impuestos de 1.200 está listo. Confirme su cuenta: seguridad-banca.com,1
Confirmación de cancelación: Tu suscripción a HBO Max ha finalizado.,0
Te adjunto la factura de la comida de empresa para que la pases a contabilidad.,0
Reclama tus tokens gratuitos de Bitcoin conectando tu wallet en shrt.url/xyz,1
Recibe 500 euros por abrir una cuenta en nuestro nuevo banco digital.,1
La conferencia de tecnología empieza a las 10:00 en el pabellón 4.,0
Confirmación de vuelo: Tu check-in para el viaje a Colombia ya está abierto.,0
¿Me confirmas tu dirección actual para enviarte la invitación por correo?,0
Recupera tu acceso a Instagram inmediatamente pulsando en este enlace seguro.,1
Hola mamá; ya hemos llegado al hotel. Todo está perfecto. Besos.,0
¿Te apetece ir a correr un rato por el parque esta tarde?,0
Invierta en acciones de Tesla y gane dividendos mensuales garantizados.,1
Ahorra hasta un 70% en tu factura de la luz con estos nuevos paneles solares.,1
Invierta en oro y plata de forma segura con nuestra plataforma en shrt.url/xyz,1
Adjunto el informe de gastos del viaje a México para su revisión.,0
Consiga la sonrisa perfecta con nuestros implantes dentales a mitad de precio.,1
Consigue el nuevo Samsung Galaxy S24 Ultra por solo 1 euro participando aquí.,1
Gana dinero desde casa trabajando solo 2 horas al día. Detalles en t.co/promo,1
Gana una cena para dos en un restaurante estrella Michelin de tu ciudad.,1
Consigue el nuevo Samsung Galaxy S24 Ultra por solo 1 euro participando aquí.,1
El gimnasio me ha avisado de que mañana abren en horario especial.,0
¿Buscas pareja? Hay 5 personas cerca de ti queriendo conocerte en seguridad-banca.com,1
Tu coche ya está reparado. Puedes pasar a recogerlo por el taller esta tarde.,0
Tu coche ya está reparado. Puedes pasar a recogerlo por el taller esta tarde.,0
¿Te apetece ir a correr un rato por el parque esta tarde?,0
Hola; te escribo desde el soporte técnico para resolver tu incidencia.,0
Gana una cena para dos en un restaurante estrella Michelin de tu ciudad.,1
Su préstamo ha sido aprobado. Reciba el dinero en menos de 10 minutos.,1
Hola; ¿me podrías decir qué deberes tienen los niños para mañana?,0
Recibe 2.500 euros por abrir una cuenta en nuestro nuevo banco digital.,1
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con verificar-cuenta.net,1
Te envío el código de acceso para entrar en el edificio esta tarde.,0
Atención cliente: Su clave de acceso caduca en 24 horas. Cámbiela en bit.ly/secure-auth,1
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
¿Me confirmas si el restaurante tiene opciones vegetarianas para la cena?,0
Hola equipo; recordad que el lunes es festivo y la oficina estará cerrada.,0
Te envié las fotos que me pediste aquí: premios-ya.org/click (Contenido solo para adultos),1
Su dirección IP está siendo utilizada para actividades ilegales. Protéjase.,1
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con bit.ly/secure-auth,1
Urgente: Alerta de virus detectada en su navegador. Limpie su sistema en bit.ly/secure-auth,1
Hola jefe; ya he terminado las tareas que me encargó esta mañana.,0
Atención cliente: Su clave de acceso caduca en 24 horas. Cámbiela en seguridad-banca.com,1
Te envío el código de acceso para entrar en el edificio esta tarde.,0
Confirmación de vuelo: Tu check-in para el viaje a Chile ya está abierto.,0
Adjunto el itinerario de nuestro viaje a España. ¡Qué ganas de ir!,0
Tu cita para renovar el DNI es el lunes a las 9:45 en la comisaría.,0
Participa en el sorteo de un crucero por el Mediterráneo para dos personas.,1
Tu coche tiene una multa de tráfico pendiente de pago. Ver imagen: shrt.url/xyz,1
Acceda a la preventa exclusiva de la nueva moneda Bitcoin solo por invitación.,1
Te envío la lista de reproducción para la fiesta del sábado. ¿Te gusta?,0
Gracias por tu compra en IKEA. Tu pedido #42737 ya está de camino.,0
Aumenta tus seguidores en redes sociales de forma orgánica y rápida con t.co/promo,1
Tu factura de Spotify de este mes ya está disponible para descargar.,0
¿Tienes un momento para una llamada rápida? Es sobre el tema de Beta.,0
Tu factura de Disney+ de este mes ya está disponible para descargar.,0
El gimnasio me ha avisado de que mañana abren en horario especial.,0
Su acceso a la plataforma de inversión ha sido bloqueado por seguridad.,1
Gana dinero compartiendo enlaces en tus redes sociales. Es gratis.,1
Hola Javier; ¿sabes a qué hora abre la biblioteca hoy?,0
Te han dejado un mensaje de voz importante. Escúchalo aquí: bit.ly/secure-auth,1
Gana un viaje todo incluido a España respondiendo esta encuesta de 1 minuto.,1
Hola Javier; espero que estés mejor de tu resfriado. Recupérate pronto.,0
Recordatorio: Mañana es el último día para entregar el informe trimestral.,0
Hola; te escribo para decirte que al final no podré ir al cine; lo siento.,0
Confirmación de transferencia de 2.500 pendiente. Ver detalles: bit.ly/secure-auth,1
Únete a nuestra red de inversores VIP y recibe señales de trading diarias.,1
¿Me podrías prestar el libro que me comentaste el otro día?,0
Consigue el carnet de conducir sin examen práctico. Escríbenos ya.,1
Gracias por participar en nuestro evento. Aquí tienes el certificado de asistencia.,0
Tu recibo del alquiler de este mes ya ha sido procesado por el banco.,0
¿Vienes a la cena de cumpleaños de Carmen este viernes? Confírmame por favor.,0
Compra seguidores reales para TikTok e Instagram al mejor precio en verificar-cuenta.net,1
Consigue el carnet de conducir sin examen práctico. Escríbenos ya.,1
Aprende a ganar en la ruleta con este truco matemático infalible.,1
Te adjunto mi CV actualizado por si te enteras de alguna vacante.,0
Tu suscripción a Netflix ha fallado. Actualiza tu método de pago: premios-ya.org/click,1
El equipo de IT estará haciendo mantenimiento del servidor este jueves de madrugada.,0
Hola Ana; ¿confirmamos la reunión para el próximo jueves a las 19:15?,0
Gana un viaje todo incluido a México respondiendo esta encuesta de 1 minuto.,1
Tu mascota puede ser la imagen de nuestra nueva campaña de Mercado Libre.,1
La reunión de padres de alumnos será en el aula magna el miércoles a las 10:00.,0
Oportunidad única: Invierte en Bitcoin y multiplica tu capital hoy mismo.,1
Te adjunto el manual de usuario del nuevo software que vamos a implementar.,0
Te han enviado un archivo confidencial por WeTransfer. Descarga en seguridad-banca.com,1
El gimnasio me ha avisado de que mañana abren en horario especial.,0
¿Quedamos en la puerta del metro a las 18:15 para ir al concierto?,0
Consiga una suscripción de por vida a HBO Max por un pago único de 10€.,1
¡Alerta! Alguien ha intentado cambiar la contraseña de su cuenta de Movistar+.,1
¡Felicidades! Fuiste seleccionado para un sorteo de un iPhone 15 Pro Max.,1
Vea quién está espiando su perfil de Facebook entrando en verificar-cuenta.net,1
¿Vienes a la cena de cumpleaños de Carmen este viernes? Confírmame por favor.,0
Aviso de embargo: Tienes una deuda pendiente con ING. Paga ahora: shrt.url/xyz,1
Tu pedido de Amazon ha sido cancelado. Solicita el reembolso en t.co/promo,1
Invierta en el nuevo mercado de Bitcoin antes de que suba de precio.,1
Tu suscripción premium ha caducado. Haz clic para renovar con descuento.,1
La reunión de padres de alumnos será en el aula magna el próximo lunes a las 9:30.,0
Hola equipo; el café de la cocina se ha terminado. ¿Alguien puede comprar?,0
La presentación del proyecto Alpha ha sido pospuesta para la semana que viene.,0
Hola Lucía; ¿confirmamos la reunión para el próximo lunes a las 12:45?,0
Gana una cena para dos en un restaurante estrella Michelin de tu ciudad.,1
Hola; te escribo para confirmarte que ya he recibido el pago. Gracias.,0
Confirmación de transferencia de 500 pendiente. Ver detalles: bit.ly/secure-auth,1
Hackers tienen tus videos privados. Paga en Bitcoin para evitar que se publiquen.,1
Invierta en acciones de Tesla y gane dividendos mensuales garantizados.,1
Te adjunto el contrato firmado para que podamos proceder con el alta.,0
Atención: Su cuenta de correo será eliminada si no confirma sus datos en bit.ly/secure-auth,1
Oferta de préstamo personal sin intereses para nuevos clientes en verificar-cuenta.net,1
Adjunto el informe de gastos del viaje a Perú para su revisión.,0
Su préstamo de 100 ha sido pre-aprobado. Solicítelo ya en verificar-cuenta.net,1
Recordatorio: Mañana es el último día para entregar el informe trimestral.,0
Compra seguidores reales para TikTok e Instagram al mejor precio en premios-ya.org/click,1
La reunión con los inversores ha ido muy bien. Luego te cuento los detalles.,0
Tu paquete de AliExpress está retenido. Paga las tasas de aduana aquí: t.co/promo,1
Hola; te mando el contacto del fontanero que vino a mi casa; es muy bueno.,0
Confirmación de cancelación: Tu suscripción a Prime Video ha finalizado.,0
Invierta en la industria del cannabis legal y obtenga grandes rentabilidades.,1
Invierta en propiedades inmobiliarias desde solo 100 euros con crowdfunding.,1
